  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
  0,             0,               0,              2,         0,           0,          0,        3,          0,         2,             0,               0,              0
  1,             0,               0,              0,         0,           0,          0,        6,          1,         1,             1,               0,              0
  2,             1,               0,              0,         7,           1,          2,       16,          4,        12,             3,               0,              1
  3,             2,               0,              1,        16,           2,          2,       24,          8,         1,             6,               0,              1
  4,             4,               1,              1,        19,           2,          2,       39,         13,         2,            10,               1,              1
  5,             5,               1,              1,        32,           3,          4,       50,         17,         2,            15,               1,              1
  6,             9,               4,              1,        33,           3,          3,       66,         23,         2,            21,               2,              2
  7,            12,               6,              2,        58,           6,          4,       74,         23,         2,            28,               2,              4
  8,            13,               6,              2,        77,           7,          5,      101,         34,         2,            36,               2,              2
  9,            14,               6,              2,        98,           8,          7,      121,         43,         2,            45,               2,              3
 10,            16,               7,              2,       101,           8,          5,      145,         53,         3,            55,               3,              4
 11,            18,               8,              2,       130,          10,          7,      161,         60,         3,            66,               4,              3
 12,            19,               8,              2,       157,          11,          8,      189,         72,         3,            78,               4,              4
 13,            20,               8,              3,       186,          12,         13,      209,         81,         6,            91,               4,              6
 14,            21,               8,              3,       217,          13,         13,      229,         92,         6,           105,               4,              7
 15,            22,               8,              4,       250,          14,         14,      252,        104,         6,           120,               4,              8
 16,            23,               8,              3,       285,          15,         14,      282,        114,         6,           136,               4,              7
 17,            24,               8,              3,       322,          16,         17,      310,        127,         7,           153,               4,              8
 18,            25,               8,              5,       361,          17,         19,      339,        140,        16,           171,               4,             13
 19,            27,               9,              4,       364,          17,         18,      358,        145,        10,           190,               5,             11
 20,            28,               9,              4,       407,          18,         40,      400,        165,         9,           210,               5,             10
 21,            29,               9,              4,       452,          19,         37,      422,        175,        27,           231,               5,             12
 22,            30,               9,              4,       499,          20,         25,      444,        184,         9,           253,               5,             14
 23,            31,               9,             11,       548,          21,         22,      466,        194,         6,           276,               5,             18
 24,            32,               9,              4,       599,          22,         35,      496,        205,        10,           300,               5,             17
 25,            33,               9,              5,       652,          23,         32,      523,        220,        11,           325,               5,             15
 26,            34,               9,              5,       707,          24,         36,      548,        229,        12,           351,               5,             23
