 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 0,             0,               0,              2,         0,           0,          0,        3,          0,         1,             0,               0,              0
 1,             0,               0,              0,         0,           0,          0,        6,          1,         2,             1,               0,              0
 2,             1,               0,              0,         7,           1,          1,       16,          4,         3,             3,               0,              1
 3,             2,               0,              0,        16,           2,          3,       24,          8,         4,             6,               0,              1
 4,             3,               0,              0,        27,           3,          4,       43,         15,        12,            10,               0,              2
 5,             4,               0,              1,        40,           4,          4,       54,         19,        23,            15,               0,              2
 6,             6,               1,              2,        43,           4,          7,       67,         22,         8,            21,               1,              2
 7,            10,               4,              2,        51,           5,          7,       80,         28,        12,            28,               3,              4
 8,            11,               4,              2,        70,           6,          9,      107,         39,        12,            36,               3,              3
 9,            12,               4,              2,        91,           7,         10,      127,         48,        11,            45,               3,              4
10,            13,               4,              2,       114,           8,         12,      151,         58,        13,            55,               3,              4
