    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
    0,             0,               0,              2,         0,           0,          0,        3,          0,         1,             0,               0,              0
    1,             0,               0,              0,         0,           0,          0,        6,          1,         1,             1,               0,              0
    2,             1,               0,              0,         7,           1,          0,       16,          4,         1,             3,               0,              0
    3,             2,               0,              0,        16,           2,          8,       24,          8,         1,             6,               0,              0
    4,             5,               3,              6,        30,           3,          7,       33,          9,         1,            10,               3,              5
    5,             7,               4,              0,        38,           4,          1,       46,         14,         1,            15,               4,              0
    6,            12,               9,              0,        52,           5,          0,       70,         25,         8,            21,               3,              0
    7,            18,              15,              0,        70,           7,          1,       81,         28,         1,            28,               5,              1
    8,            25,              21,              0,        79,           8,          0,       94,         32,         1,            36,               5,              0
    9,            28,              23,              0,        93,          10,          1,      112,         40,         1,            45,               7,              1
   10,            35,              29,              0,       112,          11,          1,      141,         52,         1,            55,               9,              1
   11,            36,              29,              0,       137,          12,          1,      167,         64,         2,            66,               9,              1
   12,            46,              38,              0,       128,          10,          1,      179,         64,         2,            78,               6,              1
   13,            50,              41,              0,       153,          12,          1,      200,         75,         2,            91,               7,              1
   14,            56,              46,              2,       157,          13,          1,      216,         82,         3,           105,              10,              2
   15,            60,              49,              1,       179,          16,          2,      230,         89,         3,           120,              11,              3
   16,            69,              57,              2,       197,          18,          3,      269,        107,         4,           136,              11,              2
   17,            72,              59,              2,       223,          20,          2,      297,        119,         3,           153,              13,              2
   18,            87,              73,              1,       240,          19,          2,      319,        128,         4,           171,              15,              3
   19,            97,              82,              3,       240,          22,          2,      334,        134,         6,           190,              16,              4
   20,           101,              85,              2,       260,          21,          3,      366,        150,         8,           210,              17,              4
   21,           112,              95,              3,       290,          25,          3,      380,        152,         4,           231,              17,              4
   22,           113,              95,              2,       337,          26,          3,      423,        173,         7,           253,              17,              4
   23,           116,              97,              3,       348,          25,          3,      439,        179,         5,           276,              19,              5
   24,           126,             106,              3,       333,          27,          3,      472,        195,         5,           300,              22,              5
   25,           147,             126,              4,       350,          28,          3,      499,        208,         5,           325,              20,              5
   26,           159,             137,              4,       387,          32,          3,      528,        219,         6,           351,              21,              6
   27,           176,             153,              4,       421,          34,          3,      554,        235,         5,           378,              25,              6
   28,           182,             158,              4,       429,          35,          3,      587,        248,         6,           406,              24,              7
   29,           189,             164,              4,       447,          37,          3,      599,        252,         6,           435,              26,              7
   30,           211,             185,              5,       432,          37,          3,      624,        266,         6,           465,              25,              7
   31,           241,             215,              6,       520,          37,          4,      645,        274,         6,           496,              29,              8
   32,           268,             241,              6,       538,          39,          4,      677,        289,         6,           528,              31,              8
   33,           294,             266,              7,       544,          44,          4,      685,        284,         6,           561,              26,             10
   34,           318,             289,              8,       568,          45,          3,      741,        310,         7,           595,              29,              9
   35,           346,             316,              8,       651,          43,          4,      760,        319,         6,           630,              30,             11
   36,           381,             350,              9,       708,          50,          4,      786,        330,         7,           666,              32,             10
   37,           397,             365,             10,       668,          51,          4,      827,        349,         7,           703,              31,             11
   38,           431,             398,             10,       644,          52,          4,      849,        356,         8,           741,              32,             11
   39,           469,             436,             10,       691,          51,          4,      876,        367,         8,           780,              34,             11
   40,           497,             463,             10,       666,          59,          4,      899,        374,         8,           820,              37,             12
   41,           512,             477,             12,       724,          63,          4,      929,        387,         8,           861,              37,             13
   42,           514,             478,             12,       766,          62,          4,      953,        398,         8,           903,              38,             11
   43,           519,             482,             14,       796,          58,          5,      985,        411,         9,           946,              38,             13
   44,           531,             493,             13,       756,          61,          4,     1023,        425,         9,           990,              41,             15
   45,           575,             537,             12,       817,          64,          5,     1053,        442,         9,          1035,              43,             17
   46,           618,             579,             13,       844,          65,          5,     1086,        450,         9,          1081,              43,             16
   47,           633,             593,             13,       840,          69,          5,     1105,        459,         9,          1128,              43,             15
   48,           652,             611,             16,       824,          69,          5,     1133,        473,         9,          1176,              45,             15
   49,           696,             654,             15,       886,          68,          5,     1153,        477,        10,          1225,              42,             16
   50,           723,             680,             15,       897,          77,          4,     1187,        492,         8,          1275,              44,             10
   51,           753,             709,              9,       961,          72,          4,     1204,        498,         6,          1326,              45,             11
   52,           804,             759,              9,      1051,          78,          4,     1244,        514,         6,          1378,              47,             12
   53,           855,             809,             10,      1072,          77,          4,     1265,        522,         6,          1431,              47,             11
   54,           905,             858,             11,      1170,          76,          4,     1311,        542,         6,          1485,              52,             12
   55,           927,             879,             19,      1029,          84,          6,     1342,        563,        10,          1540,              49,             20
   56,           973,             924,             21,      1103,          87,          6,     1355,        553,        11,          1596,              52,             22
   57,          1026,             976,             22,      1273,          79,          6,     1396,        579,        11,          1653,              54,             24
   58,          1036,             985,             24,      1151,          88,          6,     1424,        593,        11,          1711,              53,             23
   59,          1091,            1039,             24,      1248,          87,          6,     1469,        613,        11,          1770,              51,             23
   60,          1134,            1081,             25,      1192,          89,          7,     1506,        631,        11,          1830,              53,             26
   61,          1162,            1108,             22,      1221,          91,          8,     1519,        632,        12,          1891,              58,             26
   62,          1198,            1143,             30,      1343,          94,          9,     1564,        659,         9,          1953,              59,             61
   63,          1216,            1160,             25,      1337,          97,          7,     1593,        668,        13,          2016,              60,             26
   64,          1235,            1178,             25,      1361,          99,          7,     1654,        694,        12,          2080,              60,             29
   65,          1293,            1235,             28,      1369,         104,          8,     1661,        702,        13,          2145,              61,             29
   66,          1350,            1291,             30,      1370,          99,          8,     1695,        714,        16,          2211,              63,             37
   67,          1363,            1303,             31,      1438,         101,          8,     1730,        729,        14,          2278,              61,             27
   68,          1408,            1347,             34,      1399,         110,          7,     1747,        726,        16,          2346,              65,             34
   69,          1430,            1368,             33,      1521,         109,          8,     1792,        753,        14,          2415,              66,             37
   70,          1499,            1436,             30,      1536,         110,          7,     1861,        796,        12,          2485,              64,             32
   71,          1529,            1465,             33,      1502,         111,          8,     1863,        791,        14,          2556,              65,             35
   72,          1540,            1475,             31,      1525,         112,          8,     1893,        803,        14,          2628,              67,             37
   73,          1587,            1521,             33,      1511,         114,          8,     1957,        833,        14,          2701,              69,             36
   74,          1630,            1563,             42,      1595,         118,          9,     1982,        839,        15,          2775,              71,             32
   75,          1699,            1631,             39,      1602,         119,          9,     1992,        847,        15,          2850,              71,             40
   76,          1760,            1691,             37,      1536,         123,          9,     2020,        845,        16,          2926,              73,             38
   77,          1806,            1736,             38,      1604,         124,          9,     2038,        858,        15,          3003,              72,             37
   78,          1810,            1739,             56,      1834,         119,          9,     2091,        884,        16,          3081,              73,             42
   79,          1837,            1765,             40,      1697,         128,          9,     2160,        927,        17,          3160,              75,             43
   80,          1879,            1806,             43,      1641,         131,          9,     2171,        915,        16,          3240,              76,             45
   81,          1907,            1833,             44,      1709,         132,          9,     2198,        930,        19,          3321,              73,             48
   82,          1933,            1858,             45,      1725,         131,          9,     2238,        951,        17,          3403,              74,             48
   83,          1936,            1860,             45,      1801,         133,          9,     2281,        975,        17,          3486,              76,             50
   84,          1980,            1903,             46,      1773,         134,         19,     2311,        983,        17,          3570,              79,             50
   85,          2050,            1972,             41,      1796,         138,          9,     2347,        997,        15,          3655,              78,            106
   86,          2053,            1974,             44,      2080,         136,         10,     2383,       1012,        18,          3741,              80,             49
   87,          2089,            2009,             50,      1818,         145,         10,     2406,       1017,        18,          3828,              83,             48
   88,          2129,            2048,             45,      1885,         143,         10,     2465,       1053,        35,          3916,              82,            102
   89,          2191,            2109,             49,      1859,         146,         10,     2490,       1064,        18,          4005,              87,             55
   90,          2270,            2187,             53,      2114,         141,         10,     2534,       1082,        19,          4095,              87,            129
   91,          2323,            2239,             56,      1995,         152,         10,     2551,       1090,        19,          4186,              87,             58
   92,          2333,            2248,             51,      2065,         149,         10,     2629,       1122,        22,          4278,              88,            115
   93,          2400,            2314,             53,      2079,         161,         11,     2620,       1124,        21,          4371,              90,             59
   94,          2425,            2338,             57,      2088,         152,         10,     2640,       1130,        18,          4465,              92,            130
   95,          2454,            2366,             57,      2112,         156,         11,     2676,       1144,        19,          4560,              90,             57
   96,          2542,            2453,             59,      2224,         157,         11,     2762,       1188,        20,          4656,              89,            125
   97,          2630,            2540,             61,      2095,         163,         11,     2791,       1193,        20,          4753,              90,             64
