   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
   0,             0,               0,              2,         0,           0,          1,        3,          0,         1,             0,               0,              0
   1,             0,               0,              0,         0,           0,          0,        6,          1,         1,             1,               0,              0
   2,             1,               0,              0,         7,           1,         24,       16,          4,         2,             3,               0,              0
   3,             3,               1,             16,        10,           1,          2,       21,          5,         2,             6,               1,             12
   4,             4,               1,              1,        21,           2,          2,       40,         12,        13,            10,               1,              1
   5,             8,               4,              1,        24,           2,          4,       54,         18,         2,            15,               2,              1
   6,            11,               6,              1,        45,           5,          3,       67,         21,         3,            21,               2,              1
   7,            16,              10,              1,        60,           6,          2,       76,         24,         8,            28,               4,              1
   8,            20,              13,              1,        68,           7,          2,      102,         34,         3,            36,               5,              1
   9,            26,              18,              1,        77,           7,          2,      125,         43,         3,            45,               6,              1
  10,            28,              19,              1,        95,           8,          6,      149,         53,         3,            55,               7,              1
  11,            30,              20,              1,       109,           9,          3,      165,         60,         3,            66,               8,              1
  12,            33,              22,              0,       118,          10,          2,      195,         74,         3,            78,               8,              1
  13,            34,              22,              1,       147,          11,          3,      215,         84,         4,            91,               8,              2
  14,            42,              29,              2,       148,          13,          4,      231,         90,         4,           105,               9,              3
  15,            51,              37,              2,       172,          15,          4,      247,         97,         4,           120,              11,              3
  16,            62,              47,              2,       181,          16,          4,      271,        106,         4,           136,              13,              3
  17,            78,              62,              2,       218,          18,          5,      285,        113,         4,           153,              12,              3
  18,            91,              74,              3,       227,          21,          5,      316,        123,         4,           171,              16,              4
  19,            96,              78,              3,       262,          22,          5,      336,        132,         7,           190,              16,              4
  20,           110,              91,              3,       270,          25,          5,      352,        136,         5,           210,              17,              4
  21,           128,             108,              3,       294,          22,          7,      389,        155,         6,           231,              18,              4
  22,           131,             110,              4,       313,          25,          5,      418,        168,         6,           253,              18,              4
  23,           132,             110,              3,       362,          26,          6,      434,        173,         5,           276,              18,              4
  24,           154,             131,              3,       326,          25,          6,      478,        197,         6,           300,              19,              5
  25,           176,             152,              5,       389,          25,          6,      504,        208,         5,           325,              16,              5
  26,           189,             164,              5,       374,          28,          6,      521,        213,         6,           351,              20,             73
  27,           213,             187,              5,       403,          30,          7,      537,        218,         6,           378,              21,              6
  28,           235,             208,              6,       448,          32,          7,      578,        239,         6,           406,              24,              6
  29,           250,             222,              6,       449,          37,          8,      601,        246,         6,           435,              26,              7
  30,           266,             237,              6,       464,          37,          7,      619,        253,         7,           465,              27,              6
  31,           275,             245,              6,       504,          41,          8,      634,        256,         7,           496,              27,              8
  32,           286,             255,              6,       488,          43,          8,      672,        272,         7,           528,              29,              7
  33,           312,             280,              7,       548,          40,          9,      700,        288,         7,           561,              30,             10
  34,           342,             309,              8,       594,          43,          9,      720,        294,         7,           595,              27,             10
  35,           373,             339,              7,       616,          49,          9,      737,        296,         7,           630,              31,             10
  36,           385,             350,              9,       610,          48,          9,      776,        317,         7,           666,              32,             10
  37,           414,             378,             10,       594,          48,          9,      809,        332,         7,           703,              32,             11
  38,           437,             400,             10,       649,          51,         10,      826,        331,         8,           741,              32,              4
  39,           457,             419,              9,       652,          51,         10,      877,        363,         8,           780,              35,              4
  40,           482,             443,             11,       651,          54,         12,      897,        372,         8,           820,              37,              4
  41,           513,             473,             11,       674,          51,         10,      915,        381,         8,           861,              37,              5
  42,           535,             494,             98,       724,          58,         11,      959,        397,         9,           903,              36,              5
  43,           573,             531,             14,       742,          55,         13,     1001,        418,         9,           946,              39,              5
  44,           580,             537,             13,       823,          54,         13,      992,        410,        12,           990,              39,              4
  45,           618,             574,             13,       834,          62,         11,     1021,        422,         9,          1035,              40,              5
  46,           622,             577,             13,       883,          66,         11,     1062,        440,        11,          1081,              41,              6
  47,           656,             610,             16,       858,          68,         12,     1099,        458,         9,          1128,              44,              4
  48,           692,             645,             14,       970,          63,         14,     1144,        474,        10,          1176,              43,              6
  49,           720,             672,             15,       861,          67,         13,     1184,        497,        10,          1225,              40,              6
  50,           735,             686,             17,       925,          63,         14,     1220,        516,        10,          1275,              46,              6
  51,           776,             726,             18,       951,          67,         14,     1248,        524,        11,          1326,              44,              5
  52,           789,             738,             14,       968,          72,         14,     1289,        542,        10,          1378,              46,              6
  53,           791,             739,             18,      1055,          66,         15,     1331,        561,        11,          1431,              47,              7
  54,           832,             779,             65,       980,          77,         13,     1383,        591,        11,          1485,              49,              7
  55,           863,             809,             20,      1028,          81,         15,     1393,        596,        11,          1540,              51,              7
  56,           882,             827,             21,      1057,          86,         15,     1423,        607,        11,          1596,              53,              8
  57,           896,             840,             21,      1068,          80,         15,     1417,        599,        11,          1653,              54,              8
  58,           906,             849,             21,      1071,          84,         17,     1480,        632,        11,          1711,              55,              8
  59,           947,             889,             23,      1131,          90,         16,     1508,        638,        12,          1770,              57,              7
  60,           960,             901,             20,      1224,          93,         16,     1537,        658,        12,          1830,              57,              8
  61,          1020,             961,             21,      1369,          92,         15,     1572,        676,        12,          1891,              55,              9
  62,          1042,             982,             65,      1191,          95,         21,     1571,        665,         9,          1953,              58,              6
  63,          1058,             997,              3,      1203,         100,         16,     1568,        657,        12,          2016,              59,              8
  64,          1060,             998,              3,      1341,          99,         18,     1620,        678,        15,          2080,              60,              9
  65,          1094,            1031,              4,      1249,         102,         18,     1657,        696,        12,          2145,              59,              9
  66,          1104,            1040,              4,      1317,          99,         17,     1703,        720,        12,          2211,              64,              9
  67,          1130,            1065,              4,      1299,         100,         18,     1758,        744,        13,          2278,              63,              8
  68,          1183,            1117,              4,      1390,         109,         18,     1784,        753,        13,          2346,              65,             10
  69,          1184,            1117,              4,      1531,         110,         30,     1808,        757,        13,          2415,              65,             10
  70,          1225,            1157,              4,      1371,         106,         20,     1837,        774,        14,          2485,              63,             10
  71,          1255,            1186,              4,      1396,         110,         18,     1879,        791,        12,          2556,              66,             10
  72,          1305,            1235,              4,      1526,         111,         20,     1904,        797,        14,          2628,              67,             10
  73,          1375,            1304,              5,      1682,         110,         22,     1960,        828,        14,          2701,              68,             11
  74,          1406,            1334,              4,      1490,         110,         21,     1998,        855,        15,          2775,              70,             12
  75,          1471,            1398,              5,      1740,         112,         24,     2047,        882,        15,          2850,              70,             12
  76,          1539,            1465,              5,      1528,         113,         18,     2063,        881,        13,          2926,              69,             12
  77,          1570,            1495,              5,      1600,         123,         22,     2099,        895,        18,          3003,              73,             13
  78,          1608,            1532,              5,      1557,         127,         22,     2162,        925,        15,          3081,              70,             12
  79,          1650,            1573,              5,      1649,         124,         23,     2165,        916,        16,          3160,              77,             11
  80,          1707,            1629,              5,      1792,         125,         26,     2171,        916,        16,          3240,              79,             13
  81,          1762,            1683,              5,      1661,         138,         23,     2233,        952,        16,          3321,              73,             12
  82,          1808,            1728,              6,      1625,         131,         25,     2265,        973,        16,          3403,              78,             14
  83,          1852,            1771,              6,      1761,         136,         21,     2310,        981,        14,          3486,              77,             14
  84,          1929,            1847,              6,      1803,         134,         19,     2353,       1001,        32,          3570,              81,             10
  85,          1976,            1893,              4,      1878,         145,         21,     2386,       1020,        15,          3655,              83,             14
  86,          1985,            1901,              6,      1851,         138,         24,     2424,       1039,        17,          3741,              81,             14
  87,          2065,            1980,              6,      1821,         137,         24,     2467,       1058,        16,          3828,              84,             15
  88,          2115,            2029,              7,      1984,         143,         23,     2475,       1062,        16,          3916,              83,             13
  89,          2169,            2082,              6,      1854,         142,         27,     2478,       1058,        18,          4005,              84,             15
  90,          2223,            2135,              5,      1887,         146,         26,     2579,       1109,        18,          4095,              89,             17
  91,          2267,            2178,              7,      1931,         153,         26,     2554,       1091,        23,          4186,              86,             14
  92,          2326,            2236,              6,      1938,         152,         51,     2622,       1124,        19,          4278,              90,             16
  93,          2333,            2242,              7,      2274,         154,         29,     2644,       1136,        19,          4371,              92,             17
  94,          2426,            2335,              7,      2476,         147,         25,     2687,       1153,        18,          4465,              91,             17
  95,          2504,            2412,              7,      2112,         156,         28,     2716,       1160,        18,          4560,              90,             17
  96,          2518,            2425,              7,      2175,         158,         28,     2776,       1194,        19,          4656,              91,             18
  97,          2576,            2482,              7,      2187,         165,         38,     2826,       1220,        20,          4753,              92,             16
  98,          2578,            2483,              8,      2355,         160,         30,     2857,       1237,        20,          4851,              93,             18
  99,          2633,            2537,              8,      2119,         166,         30,     2912,       1249,        18,          4950,              91,             17
 100,          2660,            2563,              8,      2352,         163,         29,     2958,       1274,        23,          5050,              95,             19
 101,          2740,            2642,              8,      2366,         168,         32,     2975,       1279,        23,          5151,              94,             20
 102,          2808,            2709,              9,      2152,         167,         32,     3013,       1290,        21,          5253,              99,             21
 103,          2812,            2712,              9,      2439,         175,         33,     3046,       1300,        21,          5356,             100,             19
 104,          2915,            2815,              8,      2807,         166,         38,     3091,       1331,        21,          5460,              97,             21
 105,          2928,            2827,              8,      2333,         174,         33,     3117,       1339,        21,          5565,              99,             21
 106,          3010,            2908,              9,      2726,         176,         37,     3150,       1352,        21,          5671,             100,             21
 107,          3015,            2912,              9,      2457,         179,         33,     3188,       1370,        22,          5778,             104,             22
 108,          3020,            2916,              9,      3124,         170,         39,     3239,       1402,        19,          5886,             104,             22
