  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
  0,             0,               0,              2,         0,           0,          0,        3,          0,         1,             0,               0,              0
  1,             0,               0,              0,         0,           0,          0,        6,          1,         1,             1,               0,              0
  2,             1,               1,              1,         8,           1,          2,       13,          2,         1,             3,               1,              1
  3,             2,               1,              1,        17,           2,          2,       21,          5,        12,             6,               1,              1
  4,             4,               2,              1,        20,           2,          2,       36,         11,         2,            10,               2,              2
  5,             5,               2,              1,        33,           3,          6,       53,         19,         3,            15,               2,              2
  6,            10,               6,              1,        44,           4,          3,       66,         22,         2,            21,               4,              2
  7,            13,               8,              1,        58,           6,          4,       76,         25,         3,            28,               4,              4
  8,            20,              15,              2,        80,           7,          5,      102,         37,         3,            36,               5,              3
  9,            26,              20,             12,        80,           8,          6,      111,         38,         3,            45,               6,              4
 10,            34,              27,              3,        96,           9,          5,      127,         43,        21,            55,               7,              5
 11,            40,              32,              3,       122,          12,          7,      151,         54,         3,            66,               8,              3
 12,            44,              35,              3,       142,          13,          7,      174,         64,         3,            78,               9,              4
 13,            55,              45,              3,       136,          11,         16,      185,         67,         6,            91,               9,              7
 14,            59,              48,              5,       163,          15,         12,      202,         72,         6,           105,              10,              7
 15,            67,              55,              6,       182,          17,         11,      224,         85,         6,           120,              11,              8
 16,            70,              57,              9,       207,          18,         26,      269,        104,         7,           136,              13,              8
 17,            83,              69,              7,       228,          17,         13,      285,        108,         8,           153,              11,              9
 18,            92,              77,              7,       221,          20,         13,      315,        122,         8,           171,              11,             13
 19,            95,              79,              9,       286,          21,         19,      334,        132,         9,           190,              11,             10
 20,           114,              98,             10,       300,          22,         19,      368,        146,         9,           210,              16,             13
 21,           133,             116,             13,       332,          24,         17,      382,        149,         7,           231,              16,             12
 22,           154,             136,             13,       361,          23,         19,      394,        156,        11,           253,              18,             15
 23,           168,             149,             14,       350,          29,         30,      419,        164,        10,           276,              21,             19
 24,           182,             162,             17,       336,          30,         22,      451,        181,         9,           300,              22,             15
 25,           198,             177,             15,       371,          34,         19,      475,        189,        11,           325,              21,             19
 26,           211,             189,             17,       379,          34,         22,      512,        208,        10,           351,              23,             38
 27,           235,             212,             20,       430,          36,         34,      521,        207,        12,           378,              24,             22
 28,           241,             217,             17,       460,          35,         22,      548,        218,        11,           406,              23,             22
 29,           248,             223,             23,       480,          37,         24,      561,        223,        12,           435,              25,             26
 30,           255,             229,             19,       458,          39,         25,      590,        236,        13,           465,              27,             27
 31,           268,             241,             23,       493,          42,         30,      616,        249,        13,           496,              27,             27
 32,           280,             252,             25,       522,          38,         28,      661,        265,        12,           528,              26,             30
 33,           293,             264,             22,       552,          40,         29,      688,        279,        13,           561,              26,             34
 34,           321,             291,             41,       571,          46,         30,      728,        297,        14,           595,              31,             31
 35,           329,             298,             27,       559,          43,         28,      754,        305,        13,           630,              32,             38
 36,           357,             325,             80,       589,          48,         53,      779,        314,        15,           666,              31,             38
 37,           386,             353,             32,       612,          47,         35,      799,        324,        15,           703,              31,             38
 38,           415,             381,             33,       656,          49,         34,      815,        329,        17,           741,              33,             41
 39,           419,             384,             33,       702,          48,         39,      855,        350,        15,           780,              34,             45
 40,           458,             423,             39,       713,          54,         52,      886,        359,        17,           820,              37,             49
 41,           486,             450,             40,       656,          56,         51,      910,        367,       489,           861,              40,             45
 42,           508,             471,             44,       775,          62,         38,      938,        387,        17,           903,              37,             53
 43,           538,             500,             46,       725,          59,         34,      986,        408,        22,           946,              36,             81
 44,           544,             505,             43,       775,          58,         34,     1028,        425,        17,           990,              39,             51
 45,           558,             518,             46,       807,          63,         39,     1065,        446,        18,          1035,              42,             56
 46,           580,             539,             49,       843,          66,         41,     1079,        452,        19,          1081,              43,             59
 47,           610,             568,             50,       797,          67,         33,     1104,        457,        20,          1128,              44,             56
 48,           635,             592,             50,       855,          63,         52,     1151,        479,        20,          1176,              40,             66
 49,           677,             633,             46,       870,          67,         35,     1177,        490,        20,          1225,              41,             67
 50,           716,             671,             57,       959,          70,         39,     1213,        507,        23,          1275,              47,             68
 51,           726,             680,             53,       967,          73,         14,     1230,        514,        25,          1326,              48,             59
 52,           729,             682,             38,      1052,          72,         10,     1278,        535,        18,          1378,              50,            130
 53,           748,             700,             55,       933,          75,         14,     1319,        559,        23,          1431,              52,             75
 54,           800,             751,             82,      1235,          72,         14,     1342,        569,        22,          1485,              47,             86
 55,           848,             798,             64,      1013,          77,         13,     1365,        574,        24,          1540,              48,             83
 56,           884,             833,             60,      1050,          81,         15,     1393,        586,        26,          1596,              53,             86
 57,           908,             856,             72,      1052,          82,         14,     1397,        584,        25,          1653,              52,             87
 58,           949,             896,             74,      1092,          88,         17,     1460,        616,        26,          1711,              54,             88
 59,          1007,             953,             51,      1224,          81,         10,     1492,        627,        15,          1770,              57,             56
 60,          1018,             963,             79,      1183,          86,         16,     1532,        647,        23,          1830,              57,             87
 61,          1067,            1011,             77,      1258,          93,         19,     1557,        656,        34,          1891,              55,             96
 62,          1098,            1041,             53,      1169,          98,         20,     1581,        659,        26,          1953,              55,             97
 63,          1105,            1047,             76,      1264,          95,         17,     1609,        676,        11,          2016,              57,            114
 64,          1129,            1070,             83,      1313,          99,         18,     1627,        680,        14,          2080,              58,            105
 65,          1139,            1079,             84,      1325,         100,         18,     1673,        706,        13,          2145,              61,             90
 66,          1190,            1129,             82,      1371,         104,         19,     1698,        705,        14,          2211,              63,            115
 67,          1252,            1190,             88,      1386,         108,         20,     1725,        726,        13,          2278,              64,            171
 68,          1318,            1255,             98,      1546,         101,         19,     1796,        757,        14,          2346,              61,            147
 69,          1382,            1318,            104,      1496,         112,         21,     1816,        763,        14,          2415,              60,            134
 70,          1448,            1383,            111,      1766,         105,         24,     1838,        774,        15,          2485,              65,            116
 71,          1502,            1436,            281,      1433,         113,         21,     1874,        786,        15,          2556,              68,            141
 72,          1503,            1436,            111,      1580,         114,         24,     1917,        802,        15,          2628,              68,            132
 73,          1571,            1503,            109,      1545,         116,         18,     1932,        813,        14,          2701,              67,            139
 74,          1616,            1547,            119,      1419,         118,         19,     1966,        832,        15,          2775,              71,            140
 75,          1682,            1612,            118,      1539,         113,         30,     2025,        852,        16,          2850,              70,            147
 76,          1706,            1635,            121,      1645,         120,         21,     2048,        868,        15,          2926,              73,            152
 77,          1710,            1638,            121,      1742,         128,         23,     2087,        882,        18,          3003,              74,            157
 78,          1746,            1673,            127,      1601,         128,         22,     2112,        899,        16,          3081,              73,            163
 79,          1814,            1740,            135,      1686,         128,         23,     2154,        911,        16,          3160,              74,            161
 80,          1819,            1744,            144,      1744,         124,         24,     2188,        925,        17,          3240,              74,            170
 81,          1859,            1783,            136,      1721,         129,         23,     2220,        939,        16,          3321,              79,            173
 82,          1882,            1805,            141,      1794,         132,         26,     2273,        963,        15,          3403,              79,            176
 83,          1933,            1855,            143,      1747,         138,         24,     2274,        954,        17,          3486,              79,            297
 84,          1938,            1859,            139,      1904,         135,         26,     2324,        985,        18,          3570,              79,            192
 85,          1983,            1903,            152,      1830,         135,         25,     2378,       1015,        18,          3655,              79,            420
 86,          2010,            1929,            144,      1992,         139,         26,     2383,       1013,        18,          3741,              81,            190
 87,          2055,            1973,            159,      1901,         136,         30,     2448,       1041,        18,          3828,              83,            206
 88,          2094,            2011,            138,      1878,         145,         23,     2479,       1055,        18,          3916,              85,            206
 89,          2130,            2046,            154,      1904,         146,         26,     2503,       1060,        21,          4005,              84,            232
 90,          2185,            2100,            170,      1987,         145,         28,     2557,       1093,        18,          4095,              87,             93
 91,          2198,            2112,            167,      2034,         153,         30,     2583,       1101,        19,          4186,              85,             83
 92,          2212,            2125,            169,      2041,         153,         28,     2626,       1122,        19,          4278,              88,             84
 93,          2255,            2167,            176,      1926,         161,         27,     2638,       1124,        18,          4371,              88,             60
 94,          2295,            2206,            165,      1983,         161,         27,     2679,       1140,        20,          4465,              89,            108
 95,          2303,            2213,            166,      2080,         156,         29,     2722,       1166,        20,          4560,              92,             93
 96,          2379,            2288,            172,      2132,         160,         27,     2757,       1183,        20,          4656,              93,             69
 97,          2421,            2329,            182,      2073,         166,         31,     2806,       1206,        19,          4753,              92,             47
