 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, heap_cmp, heap_swaps, heap_time, selection_cmp, selection_swaps, selection_time
 0,             0,               0,              2,         0,           0,          0,        3,          0,         2,             0,               0,              0
 1,             0,               0,              0,         0,           0,          0,        6,          1,         2,             1,               0,              0
 2,             1,               0,              1,         7,           1,          2,       16,          4,         3,             3,               0,              1
 3,             2,               0,              1,        16,           2,          3,       24,          8,         4,             6,               0,              1
 4,             4,               1,              1,        19,           2,          3,       39,         13,         6,            10,               1,              2
 5,             8,               5,              2,        43,           4,          6,       49,         16,        15,            15,               3,              2
 6,            13,               9,              3,        48,           5,          7,       70,         24,         8,            21,               5,              3
 7,            15,              10,              3,        64,           6,          6,       84,         30,         9,            28,               6,              4
 8,            17,              11,              3,        74,           7,          9,      108,         39,        12,            36,               7,              3
 9,            20,              13,              3,        83,           8,         14,      127,         47,        11,            45,               7,              3
10,            21,              13,              3,       106,           9,         10,      148,         56,        12,            55,               7,              5
